2025-05-02 | 10:16:51 | Test | Tester | 25.00
2025-05-02 | 10:19:13 | Keyboard | Amazon | 22.00
2025-05-02 | 10:31:18 | vacation | TripAdvisor | 223.00
2025-05-02 | 10:33:04 | Test | Tester | 255.00
2025-05-02 | 10:34:03 | Parking slot #2 | Parking | -35.00
2025-05-02 | 11:04:39 | donation | Salvation Army | -10.00
2025-05-02 | 13:05:07 | donut | Mr.T's | 20.00
2025-05-02 | 13:05:47 | parking #23 | Park | -50.00
2025-07-18 | 10:11:21 | food  | doordash  | 200.00
2025-07-18 | 10:15:20 | food  | doordash | 200.00
2025-07-18 | 10:37:11 | food | doordash  | 300.00
2025-07-18 | 10:43:36 | food  | doordash  | 500.00
2025-07-18 | 10:53:05 | book  | Amazon | 450.00
2025-07-18 | 10:55:41 | book | Amazon | 400.00
